cpgIsland	log2FoldChange	pval2	new_annotation	status	annot.symbol
chr1_10037950_10038215	-0.614674629517394	0.0891620998705483	other_genomics	no_sig	NA
chr1_10039745_10040279	-2.46015508843558	0.773508045418349	other_genomics	no_sig	NA
chr1_10232143_10233428	0.350930585506643	0.10676195548213	other_genomics	no_sig	NA
chr1_104768481_104768920	-4.28266632519304	1.24781145446129	other_genomics	no_sig	NA
chr1_104993908_104994456	-0.885384901701746	0.615054983766592	other_genomics	no_sig	NA
chr1_105355962_105356898	2.90186593237442	0.60822529342846	other_genomics	no_sig	NA
chr1_105663826_105664647	-2.69796979937521	0.767868016556996	other_genomics	no_sig	NA
chr1_105989879_105991754	4.06278323174085	1.10017741798804	other_genomics	no_sig	NA
chr1_105993773_105994038	-0.249691276098279	0.0564585797036084	other_genomics	no_sig	NA
chr1_106171429_106173330	1.44398818457783	0.377709479647132	other_genomics	no_sig	NA
chr1_106712493_106712947	2.67364912704419	1.99581755837586	mm10_genes_exons	DMRs-up	Bcl2
chr1_106713656_106714232	-1.08178600998971	0.245433426572599	other_genomics	no_sig	NA
chr1_106759347_106759902	2.02259626189612	0.530241310604649	other_genomics	no_sig	NA
chr1_106796242_106796781	-3.75087513066549	1.75268347775244	mm10_genes_promoters	DMRs-down	Vps4b
chr1_10805299_10805885	-0.770652012584296	0.586053373109992	other_genomics	no_sig	NA
chr1_10993486_10994005	4.46959217560223	1.64799241139112	other_genomics_DMRs	DMRs-up	Prex2
chr1_109982432_109983228	-0.0995716833775124	0.017097095931608	other_genomics	no_sig	NA
chr1_111864486_111864996	3.64778250277568	0.585033487373925	other_genomics	no_sig	NA
chr1_112416534_112416951	1.13683679320237	0.28760287686348	other_genomics	no_sig	NA
chr1_11414060_11414465	3.15901247803934	0.950856824757243	other_genomics	no_sig	NA
chr1_118310997_118311533	3.95227452219829	0.503552285241533	other_genomics	no_sig	NA
chr1_118321756_118322057	-1.78886230324362	0.309156638785253	other_genomics	no_sig	NA
chr1_118388759_118389005	1.22225175639176	0.189172622592263	other_genomics	no_sig	NA
chr1_118389219_118389718	2.99464702488614	0.380857166781725	other_genomics	no_sig	NA
chr1_118459277_118459794	3.66784465916992	1.407121134725	mm10_genes_exons	DMRs-up	Clasp1
chr1_118459277_118459794	3.66784465916992	1.407121134725	mm10_genes_exons	DMRs-up	2900060B14Rik
chr1_118627821_118628282	4.18210949318723	1.26391797658592	other_genomics	no_sig	NA
chr1_118837394_118838033	-0.298975581403323	0.180285949016245	other_genomics	no_sig	NA
chr1_119053398_119053783	-1.45169725670408	0.23282227995057	other_genomics	no_sig	NA
chr1_119189576_119189828	2.79168758323603	0.827998621988762	other_genomics	no_sig	NA
chr1_119420294_119422877	4.50155763202405	1.54158056863192	other_genomics	DMRs-up	Inhbb
chr1_119504422_119504997	-1.35524948108396	0.458076581434738	other_genomics	no_sig	NA
chr1_119525825_119526478	-1.2687526791708	0.27542186529439	other_genomics	no_sig	NA
chr1_119648353_119649055	4.22374040263847	1.10703798500587	other_genomics	no_sig	NA
chr1_119836759_119837754	0.910070861427792	0.269587878342184	other_genomics	no_sig	NA
chr1_119913153_119913411	2.94319665527354	0.783439057829987	other_genomics	no_sig	NA
chr1_120073679_120073931	3.76520846355768	2.06846737276781	other_genomics_DMRs	DMRs-up	Tmem37
chr1_120120917_120121280	3.57147480234702	0.557709901811707	other_genomics	no_sig	NA
chr1_120340460_120341881	1.66171536959081	0.517913898356406	other_genomics	no_sig	NA
chr1_120342367_120342639	1.22352104119774	0.359760044854485	other_genomics	no_sig	NA
chr1_120602843_120603990	1.15307164663122	0.303416585716399	other_genomics	no_sig	NA
chr1_120606906_120607285	1.65130103149081	0.448533688134171	other_genomics	no_sig	NA
chr1_121177908_121178195	3.0387527298435	0.937872287147634	other_genomics	no_sig	NA
chr1_121327653_121328143	5.31961875243506	1.17974281453562	other_genomics	no_sig	NA
chr1_121430990_121431205	-0.0895109841701988	0.00795185162158165	other_genomics	no_sig	NA
chr1_121527415_121527955	0.889115412427615	0.589717271511327	other_genomics	no_sig	NA
chr1_121567592_121568081	-0.782175598654114	0.14521739361561	other_genomics	no_sig	NA
chr1_124045451_124046133	3.9198010602786	0.686910030079145	other_genomics	no_sig	NA
chr1_125435174_125435976	-1.07155715747758	0.173929830154675	other_genomics	no_sig	NA
chr1_125560389_125561346	0.703493924295935	0.13274228292028	other_genomics	no_sig	NA
chr1_125911448_125912249	-2.7383249036825	1.14724438415824	other_genomics	no_sig	NA
chr1_126492697_126492940	3.6359455019458	0.576532074000002	other_genomics	no_sig	NA
chr1_127204918_127205651	2.86059602993345	0.884502972348861	other_genomics	no_sig	NA
chr1_127677228_127678137	0.552489879468178	0.0854673850815709	other_genomics	no_sig	NA
chr1_127773918_127774860	-0.618058403859777	0.179687373641846	other_genomics	no_sig	NA
chr1_127868687_127869081	1.07444485062491	0.257474492378981	other_genomics	no_sig	NA
chr1_128038533_128038780	-1.24831889918814	1.53835854329867	mm10_genes_exons	DMRs-down	Zranb3
chr1_128103279_128103980	1.84808353919111	0.543371684551166	other_genomics	no_sig	NA
chr1_128244099_128244972	-3.39884025319724	0.765225693408395	other_genomics	no_sig	NA
chr1_128359337_128359856	-2.7176139515441	0.747471702280571	other_genomics	no_sig	NA
chr1_128416824_128417442	4.26327242426097	1.35322552152244	other_genomics_DMRs	DMRs-up	Dars
chr1_128590909_128591764	-2.93708101582866	0.883943382230401	other_genomics	no_sig	NA
chr1_129273481_129273770	2.25167866266839	0.547998873373962	other_genomics	no_sig	NA
chr1_12990718_12991200	0.46316071873181	0.207629800873915	other_genomics	no_sig	NA
chr1_12991485_12992784	1.49980336290496	0.506616889944892	other_genomics	no_sig	NA
chr1_12996222_12996435	-0.939305893909355	0.620807387721138	other_genomics	no_sig	NA
chr1_130715566_130715870	-0.392709482789154	0.0745664102488763	other_genomics	no_sig	NA
chr1_130716676_130717833	1.12732971447096	0.237178897489381	other_genomics	no_sig	NA
chr1_130878193_130878535	1.84608826666493	0.619012068560909	other_genomics	no_sig	NA
chr1_131096809_131097847	4.70804462085038	0.972996798712481	other_genomics	no_sig	NA
chr1_131129673_131129877	-0.97594542571996	1.49489381828083	other_genomics	no_sig	NA
chr1_131137776_131138378	-3.09803147237797	0.746493649892901	other_genomics	no_sig	NA
chr1_131153025_131153329	1.52686956256046	0.331184420981822	other_genomics	no_sig	NA
chr1_131244662_131245555	2.60036156701604	0.59359711007087	other_genomics	no_sig	NA
chr1_13126298_13126669	0.0527272485921059	0.0132405211816857	other_genomics	no_sig	NA
chr1_131525716_131528397	-0.809589378244646	0.20432851516589	other_genomics	no_sig	NA
chr1_131827610_131828289	0.203167356506508	0.0523994005187751	other_genomics	no_sig	NA
chr1_131867226_131867488	1.58711612344394	0.385776907216763	other_genomics	no_sig	NA
chr1_131910244_131911218	-1.72866499283413	0.45443174121752	other_genomics	no_sig	NA
chr1_131962972_131963459	2.04644651142032	0.254706789992855	other_genomics	no_sig	NA
chr1_132007342_132008412	-1.54521225709902	0.421117676310168	other_genomics	no_sig	NA
chr1_132067625_132068248	1.05683872781329	0.334641285899095	other_genomics	no_sig	NA
chr1_132139305_132139560	4.06009668193739	1.31223852929841	mm10_genes_promoters	DMRs-up	Cdk18
chr1_132190087_132191155	1.33850860446173	0.234686407330605	other_genomics	no_sig	NA
